上城区（42家）,杭州新利科技有限公司,,2.02E+13
,杭州银龙唐普徕科技有限公司,,2.02E+13
,杭州平祥数字技术有限公司,,2.02E+13
,杭州天冠科技有限公司,,2.02E+13
,杭州华圭环境检测有限公司,,2.02E+13
,浙江求是科教设备有限公司,,2.02E+13
,杭州鼎绘家居科技有限公司,,2.02E+13
,杭州圈外网络科技有限公司,,2.02E+13
,杭州优多金融信息服务有限公司,,2.02E+13
,杭州映宠信息科技有限公司,,2.02E+13
,浙江亿邦通信科技股份有限公司,,2.02E+13
,杭州佳沃思医疗科技有限公司,,2.02E+13
,杭州橙塔科技有限公司,,2.02E+13
,杭州资利网络科技有限公司,,2.02E+13
,国鼎文化科技产业发展股份有限公司,,2.02E+13
,杭州众托信息科技有限公司,,2.02E+13
,杭州珏朗科技有限公司,,2.02E+13
,杭州唯曦科技有限公司,,2.02E+13
,杭州看上科技有限公司,,2.02E+13
,杭州吉衣网络科技有限公司,,2.02E+13
,杭州舞环科技有限公司,,2.02E+13
,杭州博博科技有限公司,,2.02E+13
,杭州华雁云态信息技术有限公司,,2.02E+13
,杭州健昵福生物科技有限公司,,2.02E+13
,杭州内核金融信息服务有限公司,,2.02E+13
,杭州德和文化创意有限公司,,2.02E+13
,浙江科欣工程设计咨询有限公司,,2.02E+13
,杭州壹零贰肆网络科技有限公司,,2.02E+13
,杭州德旺信息技术有限公司,,2.02E+13
,杭州爱易特智能技术有限公司,,2.02E+13
,杭州荣亚科技有限公司,,2.02E+13
,杭州掌升财金融信息服务有限公司,,2.02E+13
,杭州募聚网络科技有限公司,,2.02E+13
,浙江锦茂街网络科技有限公司,,2.02E+13
,杭州木奇科技有限公司,,2.02E+13
,杭州顺治科技股份有限公司,,2.02E+13
,杭州军魂科技有限公司,,2.02E+13
,杭州精瑞科技有限公司,,2.02E+13
,杭州聚源金融信息服务有限公司,,2.02E+13
,杭州创辉医疗电子设备有限公司,,2.02E+13
,杭州安居市政园林工程有限公司,,2.02E+13
,杭州利纯环保科技有限公司,,2.02E+13
下城区（86家）,浙江丽珀软件技术有限公司,,2.02E+13
,杭州房虫网络科技有限公司,,2.02E+13
,杭州大猫网络科技有限公司,,2.02E+13
,乐博物联科技（杭州）有限公司,,2.02E+13
,浙江聚力电气有限公司,,2.02E+13
,杭州永慧科技有限公司,,2.02E+13
,杭州中能电动汽车有限公司,,2.02E+13
,杭州环全信息科技有限公司,,2.02E+13
,杭州迈鸿汽车电子科技有限公司,,2.02E+13
,杭州新天孚纺织科技有限公司,,2.02E+13
,杭州了凡科技有限公司,,2.02E+13
,浙江鸿安健康管理服务有限公司,,2.02E+13
,杭州天珍谷生物科技有限公司,,2.02E+13
,浙江半亩方塘文化艺术有限公司,,2.02E+13
,杭州浩铭文化创意有限公司,,2.02E+13
,杭州易为贸易有限公司,,2.02E+13
,杭州杭淳广播电视设备有限公司,,2.02E+13
,杭州大地科技有限公司,,2.02E+13
,杭州海予健康管理有限公司,,2.02E+13
,杭州领点科技有限公司,,2.02E+13
,杭州健宝医疗器械有限公司,,2.02E+13
,杭州兔狗科技有限公司,,2.02E+13
,杭州电力承装有限公司,,2.02E+13
,杭州启舰科技有限公司,,2.02E+13
,杭州市土地勘测设计规划院有限公司,,2.02E+13
,杭州隼目信息科技有限公司,,2.02E+13
,杭州诚兑科技有限公司,,2.02E+13
,杭州星宸纪信息技术有限公司,,2.02E+13
,杭州如果艺术品有限公司,,2.02E+13
,浙江国稻高科技种业有限公司,,2.02E+13
,杭州轻松互连科技发展有限公司,,2.02E+13
,杭州永桦包装印刷有限公司,,2.02E+13
,杭州汇冷科技有限公司,,2.02E+13
,杭州摩科商用设备有限公司,,2.02E+13
,杭州不等食品科技有限公司,,2.02E+13
,杭州掌商电子商务有限公司,,2.02E+13
,杭州华时科技有限公司,,2.02E+13
,浙江新世界国际旅游股份有限公司,,2.02E+13
,杭州保盒科技有限公司,,2.02E+13
,杭州东日节能技术有限公司,,2.02E+13
,杭州估估宝电子商务有限公司,,2.02E+13
,杭州立创生物科技有限公司,,2.02E+13
,杭州铭成装饰工程有限公司,,2.02E+13
,杭州市特种设备检测研究院,,2.02E+13
,浙江迈康科技有限公司,,2.02E+13
,杭州云工场科技有限公司,,2.02E+13
,迈格斯维奇磁性开关（杭州）有限公司,,2.02E+13
,快捷通支付服务有限公司,,2.02E+13
,杭州人本中型轴承有限公司,,2.02E+13
